"Step","With Off-Edge Reset - rollout/ep_rew_mean","With Off-Edge Reset - rollout/ep_rew_mean__MIN","With Off-Edge Reset - rollout/ep_rew_mean__MAX","Without Off-Edge Reset - rollout/ep_rew_mean","Without Off-Edge Reset - rollout/ep_rew_mean__MIN","Without Off-Edge Reset - rollout/ep_rew_mean__MAX"
"124","37.95174026489258","37.95174026489258","37.95174026489258","31.537818908691406","31.537818908691406","31.537818908691406"
"125","23.063756942749023","23.063756942749023","23.063756942749023","34.240745544433594","34.240745544433594","34.240745544433594"
"126","33.77804946899414","33.77804946899414","33.77804946899414","32.056331634521484","32.056331634521484","32.056331634521484"
"127","25.804323196411133","25.804323196411133","25.804323196411133","35.38071823120117","35.38071823120117","35.38071823120117"
"128","24.113941192626953","24.113941192626953","24.113941192626953","28.97749137878418","28.97749137878418","28.97749137878418"
"129","26.624963760375977","26.624963760375977","26.624963760375977","35.75149154663086","35.75149154663086","35.75149154663086"
"130","43.9629020690918","43.9629020690918","43.9629020690918","28.117237091064453","28.117237091064453","28.117237091064453"
"131","49.367740631103516","49.367740631103516","49.367740631103516","30.18570327758789","30.18570327758789","30.18570327758789"
"132","38.900264739990234","38.900264739990234","38.900264739990234","24.890804290771484","24.890804290771484","24.890804290771484"
"133","33.37936782836914","33.37936782836914","33.37936782836914","37.93950271606445","37.93950271606445","37.93950271606445"
"134","37.860469818115234","37.860469818115234","37.860469818115234","31.81510353088379","31.81510353088379","31.81510353088379"
"135","32.329132080078125","32.329132080078125","32.329132080078125","33.355289459228516","33.355289459228516","33.355289459228516"
"136","49.0537223815918","49.0537223815918","49.0537223815918","31.677410125732422","31.677410125732422","31.677410125732422"
"137","39.50199508666992","39.50199508666992","39.50199508666992","33.466182708740234","33.466182708740234","33.466182708740234"
"138","42.87581253051758","42.87581253051758","42.87581253051758","35.1476936340332","35.1476936340332","35.1476936340332"
"139","49.57158279418945","49.57158279418945","49.57158279418945","28.25253677368164","28.25253677368164","28.25253677368164"
"140","45.530181884765625","45.530181884765625","45.530181884765625","35.45885467529297","35.45885467529297","35.45885467529297"
"141","36.93687057495117","36.93687057495117","36.93687057495117","38.759925842285156","38.759925842285156","38.759925842285156"
"142","47.3955192565918","47.3955192565918","47.3955192565918","23.068811416625977","23.068811416625977","23.068811416625977"
"143","47.186092376708984","47.186092376708984","47.186092376708984","34.4904670715332","34.4904670715332","34.4904670715332"
"144","38.32069396972656","38.32069396972656","38.32069396972656","36.393104553222656","36.393104553222656","36.393104553222656"
"145","38.8525276184082","38.8525276184082","38.8525276184082","38.42784881591797","38.42784881591797","38.42784881591797"
"146","34.131385803222656","34.131385803222656","34.131385803222656","34.77802276611328","34.77802276611328","34.77802276611328"
"147","56.5084342956543","56.5084342956543","56.5084342956543","37.803802490234375","37.803802490234375","37.803802490234375"
"148","54.35700225830078","54.35700225830078","54.35700225830078","33.33613586425781","33.33613586425781","33.33613586425781"
"149","49.99842071533203","49.99842071533203","49.99842071533203","30.59002685546875","30.59002685546875","30.59002685546875"
"150","53.49741744995117","53.49741744995117","53.49741744995117","27.104726791381836","27.104726791381836","27.104726791381836"
"151","55.78590393066406","55.78590393066406","55.78590393066406","26.98050308227539","26.98050308227539","26.98050308227539"
"152","60.140438079833984","60.140438079833984","60.140438079833984","36.58715057373047","36.58715057373047","36.58715057373047"
